gene_id,mean_d1,mean_d2,delta_mean_d1_minus_d2,detected_frac_d1,detected_frac_d2,delta_detected_frac_d1_minus_d2,u_statistic,p_value,q_value_bh,abs_delta_mean,is_ercc,gene_id_stripped,gene_symbol,gene_biotype,is_mito,is_ribo,is_hla
ENSG00000241458,0.0016155088852988,0.0912364945978387,-0.0896209857125398,0.0016155088852988,0.0530612244897957,-0.0514457156044968,2445456.0,1.3467926577382013e-15,1.4232236091218233e-15,0.0896209857125398,False,ENSG00000241458,RPL7P19,processed_pseudogene,False,True,False
ENSG00000224971,0.024232633279483,0.1152460984393753,-0.0910134651598923,0.0016155088852988,0.0569027611044415,-0.0552872522191426,2435673.0,1.0481522739201287e-16,1.1430609144193944e-16,0.0910134651598923,False,ENSG00000224971,SUMO2P3,processed_pseudogene,False,False,False
ENSG00000237882,0.0032310177705977,0.0945978391356539,-0.0913668213650562,0.0024232633279483,0.0674669867947175,-0.0650437234667692,2410481.0,2.2803553268925693e-19,2.6577409712691805e-19,0.0913668213650562,False,ENSG00000237882,PPIAP13,processed_pseudogene,False,False,False
ENSG00000179766,0.4224555735056544,0.5147659063625446,-0.0923103328568902,0.0072697899838449,0.0693877551020404,-0.0621179651181955,2418798.0,6.337009451643643e-17,6.948932808111226e-17,0.0923103328568902,False,ENSG00000179766,ATP8B5P,transcribed_unprocessed_pseudogene,False,False,False
ENSG00000251340,0.0201938610662358,0.1128451380552217,-0.0926512769889858,0.0137318255250403,0.0578631452581029,-0.0441313197330626,2464631.0,1.8131417687697288e-10,1.8251465242102518e-10,0.0926512769889858,False,ENSG00000251340,MTCYBP35,processed_pseudogene,False,False,False
ENSG00000231821,0.0791599353796446,0.1726290516206487,-0.0934691162410041,0.0016155088852988,0.0715486194477787,-0.0699331105624798,2397957.5,4.325725706330819e-21,5.2219853622525155e-21,0.0934691162410041,False,ENSG00000231821,NPM1P48,processed_pseudogene,False,False,False
ENSG00000213704,0.0008077544426494,0.0945978391356539,-0.0937900846930045,0.0008077544426494,0.0561824729891954,-0.055374718546546,2435360.5,5.027937812718557e-17,5.533172132654512e-17,0.0937900846930045,False,ENSG00000213704,EEF1A1P15,processed_pseudogene,False,False,False
ENSG00000243918,0.0024232633279483,0.0962785114045614,-0.0938552480766131,0.0008077544426494,0.0614645858343334,-0.060656831391684,2421859.5,1.435670003861486e-18,1.6439095746856265e-18,0.0938552480766131,False,ENSG00000243918,EIF4BP8,processed_pseudogene,False,False,False
ENSG00000226790,0.0008077544426494,0.0955582232893153,-0.0947504688466659,0.0008077544426494,0.0581032412965183,-0.0572954868538689,2430382.5,1.3454097701907045e-17,1.5031322261757126e-17,0.0947504688466659,False,ENSG00000226790,HNRNPA3P1,processed_pseudogene,False,False,False
ENSG00000235264,0.011308562197092,0.1061224489795913,-0.0948138867824992,0.0024232633279483,0.0705882352941172,-0.0681649719661689,2402628.5,2.8873757356741914e-20,3.4264055676875646e-20,0.0948138867824992,False,ENSG00000235264,RPL5P28,processed_pseudogene,False,True,False
ENSG00000270188,0.0258481421647819,0.1212484993997593,-0.0954003572349774,0.0218093699515347,0.0705882352941172,-0.0487788653425824,2452407.5,1.879449704658676e-10,1.8917461276816007e-10,0.0954003572349774,False,ENSG00000270188,,,False,False,False
ENSG00000235651,0.1365105008077544,0.2319327731092437,-0.0954222723014892,0.0016155088852988,0.0569027611044415,-0.0552872522191426,2435829.0,1.132159470750551e-16,1.2330100152123185e-16,0.0954222723014892,False,ENSG00000235651,G3BP1P1,processed_pseudogene,False,False,False
ENSG00000234488,0.3852988691437803,0.4813925570228086,-0.0960936878790282,0.005654281098546,0.1920768307322949,-0.1864225496337489,2097933.5,3.429300720804634e-58,7.762629745131947e-58,0.0960936878790282,False,ENSG00000234488,RPL27P6,processed_pseudogene,False,True,False
ENSG00000231206,0.0008077544426494,0.0974789915966382,-0.0966712371539887,0.0008077544426494,0.0516206482593035,-0.0508128938166541,2447113.0,1.1282319727949492e-15,1.194799785661651e-15,0.0966712371539887,False,ENSG00000231206,HNRNPA1P25,processed_pseudogene,False,False,False
ENSG00000259419,0.0,0.0969987995198075,-0.0969987995198075,0.0,0.0607442977190873,-0.0607442977190873,2421528.0,6.724170797306706e-19,7.752382836434519e-19,0.0969987995198075,False,ENSG00000259419,HNRNPCP3,processed_pseudogene,False,False,False
ENSG00000227437,0.005654281098546,0.1049219687875146,-0.0992676876889686,0.0008077544426494,0.0552220888355339,-0.0544143343928845,2437957.0,1.0364536500227415e-16,1.130493798045568e-16,0.0992676876889686,False,ENSG00000227437,RPS8P4,processed_pseudogene,False,True,False
